date,location,state,latitude,longitude,rainfall_mm,source
2020-01-27,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-27,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-28,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-28,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-28,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-28,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-28,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-28,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-28,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-28,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-28,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-28,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-29,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-29,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-29,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-29,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-29,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-29,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-29,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-29,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-29,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-29,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-30,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-30,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-30,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-30,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-30,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-30,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-30,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-30,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-30,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-30,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-31,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-31,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-31,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-31,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-31,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-31,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-31,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-31,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-31,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-31,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-02-01,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-02-01,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-02-01,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-02-01,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-02-01,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-02-01,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-02-01,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-02-01,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-02-01,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-02-01,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-02-02,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-02-02,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-02-02,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-02-02,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-02-02,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-02-02,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-02-02,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
